,Partido,Localidad,,,CABLEMODEM,DIALUP,,,WIRELESS,TELEFONIAFIJA,,,link,Latitud,
MENDOZA,,Agua Escondida,443,--,,--,--,SI,,,SI,SI,,,"-68,3048428543176"
,Malargüe,Bardas Blancas,,,--,--,,,--,SI,,SI,50077010,"-35,870882529299",
MENDOZA,Malargüe,Las Leñas,,--,--,--,,--,--,SI,,,50077030,"-35,1539650781638",
LA RIOJA,,,861,--,,,SI,--,,,--,SI,46028040,,"-68,0970404734465"
LA RIOJA,Coronel Felipe Varela,,0,--,--,,--,--,--,--,--,--,,"-29,361377257847","-68,6264098036917"
LA RIOJA,,,4931,--,,,SI,SI,SI,SI,--,,46028050,"-29,3227046223336",
LA RIOJA,,Alto Carrizal,200,--,,--,--,--,,--,,--,46049010,"-28,8736691237645",
LA RIOJA,Famatina,Angulos,,--,--,--,,--,SI,,--,--,,,"-67,6529605556859"
,Famatina,Antinaco,102,,--,--,--,,--,,--,--,46049030,,"-67,3233196534937"
LA RIOJA,,Bajo Carrizal,150,--,,--,--,--,,--,,,46049040,"-28,8911007689177",
LA RIOJA,,,892,--,,,SI,--,,SI,--,,46049050,"-28,5560208289878","-67,6264406513676"
LA RIOJA,,,268,--,,,--,--,,,--,--,,,"-67,5874723425836"
LA RIOJA,Famatina,,2466,SI,SI,,SI,--,SI,,SI,SI,46049070,,"-67,5207596756722"
,Famatina,La Cuadra,,,--,--,,,SI,--,,,46049080,"-28,4724817643376",
LA RIOJA,Famatina,Pituil,,--,--,--,,--,SI,SI,,SI,46049090,"-28,5815077306519",
LA RIOJA,Famatina,Plaza Vieja,,--,--,--,,,--,,--,--,46049100,,"-67,5201315513043"
,Famatina,Santa Cruz,221,,--,--,--,,SI,--,--,--,,"-28,4907371198","-67,6899252647169"
LA RIOJA,Famatina,,93,--,,,--,--,--,--,,--,46049120,"-28,5600668428725",
LA RIOJA,,Punta de los Llanos,532,--,,--,SI,--,,SI,,,46056010,"-30,165433857594",
,General Angel V. Peñaloza,Tama,1164,,--,--,SI,,SI,SI,--,SI,,"-30,5173084388038","-66,5413792482074"
,General Belgrano,Castro Barros,,,--,--,,,SI,,--,--,46063010,,"-65,7419372748158"
LA RIOJA,General Belgrano,,903,SI,--,,SI,--,SI,SI,SI,,46063020,"-30,5590304532238","-65,9735931205601"
FORMOSA,,,12798,SI,,,--,SI,,SI,,SI,34028010,"-23,8976004129254",
FORMOSA,Patiño,Bartolomé de las Casas,,--,--,--,,SI,SI,--,--,--,,"-25,3474022268881","-59,6181476016645"
,Patiño,Colonia Sarmiento,,,--,--,,,--,,--,--,,,"-59,4332808273711"
,Patiño,Comandante Fontana,6615,,--,--,--,,SI,SI,,,34035030,"-25,3347934740298",
,Patiño,El Recreo,,,--,--,,--,--,--,--,,34035040,"-25,0663152545433","-59,2513514627224"
FORMOSA,,Estanislao del Campo,4523,SI,,--,--,--,,,--,SI,,,"-60,0939271832043"
FORMOSA,Patiño,,1351,--,--,,--,--,,--,--,SI,,"-24,2854864616665","-59,8282499173384"
,Patiño,Fortín Sargento 1º Leyes,,,--,--,,,SI,--,,,34035070,"-24,5503048524758",
,Patiño,Ibarreta,9429,,--,--,--,,SI,SI,,SI,34035080,"-25,2113191232301",
,Patiño,Juan G. Bazán,413,,--,--,,,SI,--,--,SI,,"-24,5418137126365","-60,8341896995338"
FORMOSA,Patiño,Las Lomitas,,SI,--,--,,SI,SI,,SI,SI,,,"-60,5937892586839"
FORMOSA,,Posta Cambio Zalazar,603,--,,--,--,--,,--,--,,34035110,"-24,2115848629554","-60,198666969414"
FORMOSA,Patiño,,4517,SI,--,,SI,--,SI,SI,,,34035120,"-24,8975997693171",
FORMOSA,,,66,--,,,--,--,,,--,--,,,"-59,902051229705"
FORMOSA,,San Martín II,3119,--,,--,SI,--,,SI,--,SI,,"-24,4331529800639","-59,656351890373"
,Susques,Olacapato,,,--,--,,,SI,--,,--,38084055,"-24,1152805507803",
,Pilcomayo,Laguna Naick-Neck,2479,,--,--,--,,SI,SI,--,,34049030,"-25,2193910506962","-58,1230791260523"
FORMOSA,,Palma Sola,212,--,,--,--,--,,,--,SI,,,"-57,9768403788083"
FORMOSA,Pilcomayo,,669,--,--,,--,--,SI,,--,--,34049050,,"-57,6524943008573"
FORMOSA,Pilcomayo,Riacho He-He,,--,--,--,,--,SI,SI,,,34049060,"-25,3617117019838",
,Pilcomayo,Riacho Negro,720,,--,--,--,,SI,--,,SI,34049070,"-25,4224320225992",
FORMOSA,Pilcomayo,,863,SI,--,,SI,--,SI,SI,--,SI,,"-25,2015076619063","-58,330676377416"
FORMOSA,,Colonia Campo Villafañe,4494,--,,,SI,--,,,--,SI,34056010,,"-59,0780331803401"
FORMOSA,,El Colorado,14228,SI,,--,SI,SI,,SI,,SI,34056020,"-26,3117354640006",
FORMOSA,,,6379,--,,,--,SI,,SI,,,34056030,"-25,5639063797961",
,Pirané,Pirané,20335,,--,--,SI,,SI,,SI,SI,34056040,,"-59,1075205904775"
,Pirané,Villa Kilómetro 213,,,--,--,,,SI,,--,SI,,,"-59,3683950578867"
FORMOSA,,,3371,--,--,,--,--,SI,--,--,,34063010,"-23,1607663192891","-62,0107787024286"
FORMOSA,,El Quebracho,415,--,,--,--,--,,--,,,34063030,"-23,3394869143818",
ENTRE RIOS,,,1510,SI,,,--,SI,,,SI,SI,30077050,,"-60,0301404781048"
ENTRE RIOS,,Lucas González,4364,SI,,--,--,--,,,SI,SI,,"-32,3859289481651","-59,531300464703"
,Nogoyá,Nogoyá,,,--,--,,,SI,SI,,SI,30077070,"-32,3956416421841",
,Nogoyá,XX de Setiembre,178,,--,--,--,,SI,SI,,,30077080,"-32,3866241398753",
,Paraná,Aldea María Luisa,773,,--,--,--,,SI,,--,SI,,,"-60,4087456869806"
ENTRE RIOS,Paraná,Aldea San Juan,,--,--,--,,--,--,,--,--,30084015,,"-60,3583819889242"
ENTRE RIOS,,,144,--,,,--,--,,SI,--,,30084020,"-31,9598299451355","-60,2558755485286"
ENTRE RIOS,Paraná,,302,--,--,,--,--,--,SI,,--,30084030,"-31,6128701885629",
ENTRE RIOS,Paraná,Aldea Santa Rosa,,--,--,--,,--,--,,--,--,,,"-60,2411073474122"
,Paraná,Cerrito,,,SI,--,,,SI,SI,SI,SI,,"-31,5821711222967","-60,0740223148253"
ENTRE RIOS,,Colonia Avellaneda,2970,SI,,--,--,--,,SI,,,30084060,"-31,7680690511493",
ENTRE RIOS,,,69,--,,,--,--,,--,--,,30084065,"-31,6777727008412","-60,2436880885317"
,Paraná,Colonia Merou,0,,--,--,--,,--,,--,--,30084110,,"-60,3016846563"
,Paraná,Crespo,,,SI,--,,,SI,SI,SI,SI,,"-32,0346491846505","-60,3107514290928"
ENTRE RIOS,Paraná,Crucesitas Séptima Sección,,--,--,--,,--,SI,--,--,,30084095,"-31,38833","-60,0167"
,Paraná,El Palenque,,,--,--,,,SI,SI,,,30084080,"-31,6625748086746",
ENTRE RIOS,Diamante,,8868,SI,SI,,--,--,SI,SI,SI,SI,,"-32,1772714430842","-60,1985605811767"
ENTRE RIOS,,La Juanita,22,--,,--,--,--,,,--,--,,,"-60,649121973368"
,Diamante,Las Jaulas,,,--,--,,,--,--,,--,30021127,"-31,8327184836082",
ENTRE RIOS,Diamante,Paraje La Virgen,,--,--,--,,--,--,--,,,30021130,"-31,917362571918",
,Diamante,Puerto Las Cuevas,,,--,--,,,--,,--,--,30021140,,"-60,4872902471305"
,Diamante,Strobel,0,,SI,--,--,,--,--,SI,SI,,"-32,0585362988015","-60,6108078415946"
ENTRE RIOS,,,6312,SI,,,--,--,,SI,,,30021150,"-32,0697561751369",
ENTRE RIOS,,Chajarí,32734,SI,,--,SI,--,,SI,SI,,30028010,"-30,7540759107669","-57,9841625878637"
ENTRE RIOS,,Colonia Alemana,137,--,,--,--,--,,--,--,--,,"-30,896158506292","-58,0221576342783"
ENTRE RIOS,Federación,,0,--,--,,--,--,SI,,--,SI,,,"-57,8648918069168"
,Federación,Colonia La Argentina,,,--,--,--,,SI,SI,SI,,30028040,"-31,0739","-58,0258"
ENTRE RIOS,Federación,Colonia Peña,,--,--,--,,--,SI,--,,,30028050,"-30,7974915997552",
ENTRE RIOS,Federación,,0,--,--,,--,--,SI,,--,SI,30028040,,"-58,1858011706289"
ENTRE RIOS,,,16658,SI,,,SI,--,,,SI,SI,,,"-57,9183475208406"
,Federación,Los Conquistadores,1177,,SI,--,--,,SI,SI,,SI,30028080,"-30,5944074579969",
,Federación,San Jaime de la Frontera,,,SI,--,,,SI,SI,,,30028090,"-30,3396273493524",
FORMOSA,,General Mosconi,1902,--,,--,SI,SI,,,--,--,34063020,,"-62,304068544241"
JUJUY,,,279,--,,,--,--,,--,--,--,,,"-66,0901432282825"
JUJUY,Cochinoca,,8705,--,--,,--,SI,SI,SI,--,,38007020,"-22,7215697648051","-65,6932137518832"
JUJUY,,,56,--,,--,--,--,,--,,--,38007030,"-23,1538168323179",
JUJUY,Cochinoca,Agua de Castilla,,--,--,--,,--,--,,--,--,,,"-65,8126832832967"
,Cochinoca,Casabindo,118,,--,--,--,,--,,--,--,38007040,,"-66,0287330395054"
JUJUY,,,67,--,,,--,--,,--,,--,38007050,"-22,7419005409313",
JUJUY,Cochinoca,,45,--,--,,--,SI,--,--,--,,38007055,"-22,5289792213782","-65,5227806528915"
JUJUY,,,255,--,,,SI,--,--,,--,SI,38007060,,"-65,6988399422374"
JUJUY,,Quebraleña,53,--,,--,--,--,,,--,--,,,"-65,7700882487411"
JUJUY,Cochinoca,Quera,,--,--,--,,,--,--,,--,38007067,"-23,1008393564743",
,Cochinoca,Rinconadillas,189,,--,--,--,,--,--,--,,38007070,"-23,2886643513195","-65,9412335357817"
,Cochinoca,San Francisco de Alfarcito,,,--,--,,,--,--,--,--,,,"-65,9463804620407"
JUJUY,Cochinoca,Santa Ana de la Puna,,--,--,--,,--,--,,--,--,38007085,,"-66,0321033317768"
JUJUY,,,152,--,,,--,--,,--,,,38007090,"-23,5155069556653",
JUJUY,Cochinoca,,122,--,--,,--,--,--,--,,--,38007095,"-22,8895749670499",
JUJUY,Cochinoca,Tusaquillas,,--,--,--,,--,--,,--,--,,,"-65,9732427949322"
,Doctor Manuel Belgrano,Dr. Manuel Belgrano,82,,--,--,SI,,SI,--,--,--,,"-23,9482980868379","-65,2984613199784"
JUJUY,,Guerrero,518,SI,,--,--,--,,SI,,,38021010,"-24,1861828032769",
JUJUY,Doctor Manuel Belgrano,,42,--,SI,,SI,--,--,--,--,,38021020,"-24,2607538226752","-65,395737692293"
,Doctor Manuel Belgrano,León,630,,SI,--,--,,--,,--,--,,,"-65,4315558946392"
,Doctor Manuel Belgrano,Lozano (Ap. Chañi),,,--,--,,--,SI,SI,SI,SI,,"-24,0773597398703","-65,4047004835351"
JUJUY,Doctor Manuel Belgrano,Ocloyas,,--,--,--,,--,--,--,--,,38021050,"-23,9096538285094","-65,1955065762574"
,Doctor Manuel Belgrano,San Pablo De Reyes,,,--,--,,,--,--,,,38021050,"-24,1436588948106",
JUJUY,Doctor Manuel Belgrano,,257970,SI,SI,,SI,SI,SI,SI,SI,SI,,"-24,1953577939088","-65,302450636841"
JUJUY,,,1953,--,,,--,SI,,,SI,SI,38021070,,"-65,4145726152103"
,El Carmen,Aguas Calientes,,,--,--,,,SI,--,,--,38014010,"-24,5838759624546",
JUJUY,El Carmen,Barrio El Milagro,,--,--,--,,--,--,--,,,38014020,"-24,4612361196434",
,El Carmen,Barrio La Unión,700,,--,--,--,,--,--,--,--,,"-24,4035420691548","-65,0685901094716"
JUJUY,El Carmen,El Carmen,,,SI,--,,SI,SI,,SI,SI,38014040,,"-65,260519420291"
JUJUY,,Fleming,0,--,,--,--,--,,--,SI,,38014040,"-24,587376342521","-64,924057792361"
JUJUY,El Carmen,,864,--,--,,--,--,,--,,,38014050,"-24,4735714061733",
JUJUY,El Carmen,,211,--,--,,--,--,--,,--,SI,,,"-65,1843971543033"
JUJUY,,,326,--,,,--,SI,,--,SI,SI,,"-24,5056866075889","-64,9759262948199"
JUJUY,El Carmen,Monterrico,,--,SI,--,,SI,SI,SI,,,38014070,"-24,4385200992504",
,El Carmen,Pampa Blanca,,,SI,--,,,SI,SI,SI,,38014080,"-24,5329937382422","-65,0744141219101"
JUJUY,,Perico,44750,--,,--,--,SI,,,SI,SI,,,"-65,1132793807486"
JUJUY,El Carmen,,0,--,--,,--,--,--,,--,--,38014040,,"-64,9141975517301"
JUJUY,Yavi,La Quiaca,,SI,--,--,,,SI,SI,,,38112050,"-22,100030990273",
,Yavi,Llulluchayoc,91,,--,--,--,,--,--,,--,38112060,"-22,5152169464206",
JUJUY,,,233,--,,,SI,--,--,--,--,SI,,,"-65,6786766560839"
JUJUY,,San Jose,0,--,,--,--,--,,,--,--,38112040,,"-65,3097886156379"
JUJUY,,,378,--,,,--,SI,,--,,--,38112080,"-22,130283",
JUJUY,Yavi,,33,--,--,,SI,--,--,--,--,,38112090,"-22,0909983923897","-65,4650631210317"
,Atreucó,Doblas,,,SI,--,,,SI,,--,--,42007010,,"-64,0140550927574"
LA PAMPA,Atreucó,Macachín,,--,--,--,,SI,SI,,--,SI,,,"-63,667141835534"
LA PAMPA,Atreucó,,2034,--,--,,SI,SI,SI,SI,--,,42007030,"-36,8538749058938","-63,6881846143541"
LA PAMPA,,,678,--,,,--,SI,,SI,,SI,42007040,"-37,166824214775",
LA PAMPA,,Tomas M. Anchorena,307,--,,SI,--,SI,,,--,--,,,"-63,5205021645149"
LA PAMPA,,,68,--,,,--,--,,,--,--,42014010,,"-63,8608882456791"
,Caleu Caleu,La Adela,1904,,SI,--,--,,SI,--,SI,,42014020,"-38,9739618507806","-64,0893166949512"
,Capital,Anguil,,,SI,--,,,SI,SI,,SI,42021010,"-36,527922625355",
JUJUY,Susques,Olaroz Chico,,--,--,--,,SI,SI,,--,--,38084060,,"-66,7829414619282"
,Susques,Pastos Chicos,104,,--,--,SI,,--,--,--,--,,,"-66,420983463337"
JUJUY,Susques,,94,--,--,,SI,--,--,--,,--,38084080,"-23,9584550578191",
JUJUY,,San Juan de Quillaqués,72,--,,,SI,SI,,--,,,38084090,"-23,1460647975727",
,Susques,Susques,,,--,--,,,SI,SI,--,SI,,"-23,3997525205999","-66,3674476958012"
JUJUY,Tilcara,Colonia San José,,--,--,--,,--,--,,--,--,,,"-65,3910451552268"
JUJUY,,,712,--,,,SI,--,,--,--,,38094020,"-23,4341642603915","-65,3513341366081"
JUJUY,,Juella,200,--,,--,--,--,,SI,,,38094030,"-23,5025387170793",
,Tilcara,Maimará,,,--,--,,,SI,SI,--,SI,,"-23,6208130147957","-65,4078600419067"
,Tilcara,Tilcara,4691,,--,--,SI,,SI,,SI,SI,,,"-65,3940793438321"
,Tilcara,Yacoraite,0,,--,--,,,--,--,,,38094040,"-23,4023544678311",
JUJUY,Tumbaya,Bárcena,,--,--,--,,--,SI,--,--,,38098010,"-23,9694741938995","-65,446477650042"
JUJUY,,El Moreno,154,--,,--,--,--,,,--,--,38098020,,"-65,8300087469469"
JUJUY,Tumbaya,,28,--,--,,--,--,--,--,--,--,,"-23,5613891108623","-65,69123062536"
JUJUY,Tumbaya,Purmamarca,,SI,--,--,,--,SI,SI,,,38098030,"-23,7409980636707",
,Tumbaya,Tumbaya,,,--,--,,,SI,SI,,SI,38098040,"-23,8523034100617",
JUJUY,Tumbaya,Volcán,,SI,--,--,,--,SI,,--,SI,,,"-65,4630986774907"
,Valle Grande,Caspalá,,,--,--,,,--,--,--,--,,"-23,3572362927788","-65,1183997355336"
JUJUY,Valle Grande,,130,--,--,,--,--,--,--,,--,38105020,"-23,5544093778059",
JUJUY,,San Francisco,504,--,,--,--,--,,--,--,,38105030,"-23,6174664054774","-64,9548612286321"
JUJUY,,Santa Ana,416,--,,--,--,SI,,--,--,--,,"-23,3576613065649","-64,9879232445175"
ENTRE RIOS,,,766,--,,,--,--,,,SI,SI,,,"-59,8938069366259"
,Paraná,El Ramblón,0,,--,--,--,,--,--,--,,30084095,"-31,8480473768248","-60,0927487719843"
,Paraná,El Ramblón,,,--,--,,,SI,--,,,30084095,"-31,8480473768248",
ENTRE RIOS,Paraná,,4805,--,SI,,SI,SI,,,SI,SI,30084100,,"-59,83696962349"
ENTRE RIOS,,Hernandarias,5373,--,,--,--,--,,,SI,SI,,,"-59,9872576438234"
,Paraná,La Picada,564,,--,--,SI,,--,SI,,SI,30084120,"-31,7267100818149",
ENTRE RIOS,Paraná,Las Tunas,,--,--,--,,SI,SI,--,,,30084130,"-31,8706095724666","-59,7324361083485"
ENTRE RIOS,,,7557,--,,SI,SI,--,,,SI,SI,30084140,,"-59,9044379252459"
ENTRE RIOS,Paraná,,4116,SI,SI,,--,--,SI,,SI,SI,,,"-60,5182728163031"
ENTRE RIOS,,,247139,SI,,,SI,SI,,SI,,,30084160,"-31,7415676426411",
ENTRE RIOS,,Pueblo Bellocq (Est. Las Garzas),282,--,,--,--,--,,SI,,--,30084170,"-31,4287140394702",
,Paraná,Pueblo Brugo,,,--,--,,,SI,SI,SI,SI,,"-31,3883015926493","-60,0938334043815"
,Paraná,Pueblo General San Martín,296,,--,--,--,,--,,--,SI,30084190,,"-60,1679618601982"
NEUQUEN,,Los Catutos,229,--,,--,--,--,,--,,,58112010,"-38,8384807985925",
NEUQUEN,Zapala,,2660,SI,,,--,SI,SI,SI,--,,58112020,"-38,7642591265553","-70,0386669795207"
NEUQUEN,,Ramon M. Castro,125,--,,--,--,--,,--,--,SI,,"-38,865500620555","-69,750265287383"
NEUQUEN,,,32097,SI,,,SI,SI,,,SI,SI,,,"-70,0668545323772"
,25 de Mayo,Aguada de Guerra,126,,--,--,--,,SI,--,--,,62091010,"-41,0639017102391","-68,3843810353051"
,25 de Mayo,Clemente Onelli,,,--,--,,,--,--,,,62091020,"-41,2448350046555",
RIO NEGRO,25 de Mayo,Colan Conhue,,--,--,--,,SI,--,,--,--,,,"-69,1112545579991"
,25 de Mayo,El Caín,176,,--,--,--,,--,SI,--,--,,"-41,8182874251641","-68,0774152377244"
RIO NEGRO,25 de Mayo,,6261,SI,--,,SI,SI,SI,SI,,SI,62091050,"-41,3268134240327",
RIO NEGRO,,,5187,--,,,--,SI,,--,--,,62091060,"-40,8451911426273","-68,0832025061279"
,25 de Mayo,Maquinchao,,,--,--,,,SI,,--,SI,,,"-68,7003410687453"
RIO NEGRO,25 de Mayo,Mina Santa Teresita,,--,--,--,,--,--,,--,--,62091080,,"-69,411658784618"
RIO NEGRO,,,46,--,,,--,SI,,--,,,62091090,"-41,9083865405739",
RIO NEGRO,,Comicó,82,--,,--,--,SI,,--,,--,62049010,"-41,0632755118249",
,9 de Julio,Cona Niyeu,,,--,--,,,--,SI,--,--,,"-41,8812021704501","-66,9407404270844"
,9 de Julio,Ministro Ramos Mexía,973,,--,--,SI,,SI,,--,--,62049030,,"-67,2619207148835"
,Guatraché,General Manuel J. Campos,,,--,--,,,--,SI,,SI,42070020,"-37,4589894326191",
LA PAMPA,Guatraché,Guatraché,,--,SI,--,,SI,SI,SI,SI,,42070030,"-37,6669652272263",
LA PAMPA,,Perú,39,--,,--,--,--,,,--,--,42070040,,"-64,1373213494442"
LA PAMPA,Guatraché,,466,--,--,,SI,--,--,,--,--,,,"-63,4328864695669"
LA PAMPA,Hucal,Abramo,,--,--,--,,SI,SI,--,--,,42077010,"-37,8943313295474","-63,8515025914131"
,Hucal,Bernasconi,,,--,--,,,SI,SI,,,42077020,"-37,9020681912485",
,Hucal,General San Martín (Est. Villa Alba),2576,,--,--,SI,,SI,,SI,SI,,,"-63,6065854529977"
LA PAMPA,Hucal,Hucal,,,--,--,,--,--,,--,--,42077040,,"-64,0306677804584"
LA PAMPA,,Jacinto Arauz,2434,--,,--,SI,SI,,SI,SI,,42077050,"-38,0837587172211",
LA PAMPA,Lihuel Calel,,208,--,--,,SI,SI,,--,,SI,42084010,"-38,3336784745408",
LA PAMPA,Limay Mahuida,,221,--,--,,--,SI,SI,,--,SI,42091010,,"-66,2268538972728"
LA PAMPA,,,75,--,,,--,SI,,--,--,--,,"-37,1597120530545","-66,6745400356471"
LA PAMPA,Loventué,Carro Quemado,,--,--,--,,SI,SI,SI,,--,42098010,"-36,47556498406",
,Loventué,Loventué,,,--,--,,,--,SI,,,42098020,"-36,1887459763907",
LA PAMPA,,Luan Toro,689,--,,--,--,SI,,SI,--,SI,,"-36,2016818772905","-65,0972782402489"
LA PAMPA,Loventué,,1240,--,--,,SI,SI,SI,,--,SI,42098040,,"-65,5097731802402"
LA PAMPA,Loventué,Victorica,,--,--,--,,,SI,SI,SI,,42098050,"-36,2048593679219","-65,4403752727095"
,Maracó,Agustoni,284,,--,--,--,,SI,SI,,--,42105010,"-35,7811018772957",
LA PAMPA,Maracó,,377,--,,,SI,--,SI,SI,--,--,,"-35,7763229509013","-63,716840693317"
LA PAMPA,,General Pico,56795,SI,,SI,SI,SI,,,SI,SI,,,"-63,760929267739"
LA PAMPA,,,367,--,,,SI,--,,SI,,,42105040,"-35,547293621716",
LA PAMPA,Maracó,,46,--,--,,--,--,--,--,--,,42105050,"-35,5855840986961","-63,5887521403772"
,Puelén,25 de Mayo,,,--,--,,,SI,,SI,SI,,,"-67,7172958236186"
LA PAMPA,Puelén,Casa de Piedra,,--,--,--,,--,SI,--,--,--,,"-38,2230515311115","-67,1709263654639"
LA PAMPA,Puelén,,357,--,--,,--,SI,SI,SI,,,42112010,"-37,3400655492209",
LA PAMPA,,,2804,--,,SI,SI,SI,,SI,,SI,42119010,"-36,1513889624763",
LA PAMPA,,,32,--,--,,--,--,--,,--,--,,,"-63,9040708614432"
LA PAMPA,,Miguel Cané,803,--,,--,SI,SI,,SI,SI,SI,,"-36,1549581794141","-63,5121543730908"
MENDOZA,San Carlos,Barrio Carrasco,,--,--,--,,--,--,--,,,50091005,"-33,8321066130502",
,San Carlos,Barrio El Cepillo,109,,--,--,--,,SI,--,--,,50091010,"-33,8386533809471","-69,1303497215532"
,San Carlos,Chilecito,,,--,--,,,SI,--,SI,SI,,"-33,8934020968296","-69,0804633582269"
MENDOZA,San Carlos,Eugenio Bustos,,SI,--,--,,--,SI,,SI,SI,,,"-69,0729045258216"
MENDOZA,,,8241,SI,,,--,SI,,SI,SI,,50091040,"-33,7386757381913","-69,1281255649691"
MENDOZA,San Carlos,,1021,--,--,,SI,--,SI,SI,,SI,50091050,"-33,9452563037172",
MENDOZA,San Carlos,San Carlos,,--,SI,--,,--,SI,,SI,SI,50091060,,"-69,0490909178745"
,San Martín,Alto Salvador,0,,--,--,SI,,SI,,--,--,,,"-68,4708407197208"
MENDOZA,,Alto Verde,1627,--,,--,SI,--,,--,,--,50098020,"-33,1195037386563",
MENDOZA,San Martín,,403,--,--,,--,--,--,--,,,50098030,"-33,0411467362082",
,San Martín,Barrio Emanuel,75,,--,--,--,,--,,--,--,50098040,,"-68,4100199226668"
,San Martín,Barrio La Estación,,--,--,--,,--,--,--,--,--,,"-33,155290161095","-68,3543621643557"
MENDOZA,San Martín,Barrio Los Charabones,,--,--,--,,--,--,--,--,,50098050,"-32,9785115683367",
,San Martín,Barrio Ntra. Sra. De Fátima,,,--,--,,,--,--,,--,50098055,"-33,1309714824444",
MENDOZA,San Martín,,1486,--,--,,SI,--,SI,,SI,SI,,,"-68,4765253845307"
MENDOZA,,,550,--,,,--,--,,,--,--,50098070,,"-68,4594029398778"
,San Martín,El Espino,376,,--,--,,,SI,--,,,50098073,"-33,077333062302",
MENDOZA,San Martín,El Ramblón,,--,--,--,,--,SI,--,--,,50098077,"-33,1617709736953","-68,2954844260235"
,San Martín,Montecaseros,,,--,--,,,SI,,SI,SI,50098080,,"-68,3936801268915"
,San Martín,Nueva California,208,,--,--,--,,SI,,--,--,,,"-68,335450804198"
MENDOZA,,,177,--,,,--,--,,--,,SI,50126035,"-33,3989500475535",
MENDOZA,,Villa Atuel Norte,271,--,,--,--,--,,SI,SI,,50105240,"-34,7605998347692",
MENDOZA,,Barrio 12 de Octubre,177,--,,--,SI,--,,--,--,SI,,"-33,1912015360595","-68,2809624398751"
MENDOZA,Santa Rosa,,94,--,--,,--,--,--,,SI,SI,50112020,,"-68,1826758332982"
,Santa Rosa,Barrio Molina Cabrera,,,--,--,,,--,--,,,50112030,"-33,1297119555186",
MENDOZA,Santa Rosa,La Dormida,,--,--,--,,--,SI,SI,,SI,50112040,"-33,3499243562079",
MENDOZA,Santa Rosa,,3621,--,--,,--,--,SI,,SI,SI,50112050,,"-68,0532182373693"
MENDOZA,,,2509,--,,,SI,--,,SI,--,--,,"-33,2544227888887","-68,1567438797332"
,Tunuyán,Barrio San Cayetano,161,,--,--,--,,--,--,,--,50119010,"-33,6339135898779",
,Tunuyán,Campo Los Andes,,,SI,--,,,--,--,--,,50119020,"-33,707078744557","-69,1826331369796"
MENDOZA,,Colonia Las Rosas,2169,--,,--,--,--,,,SI,SI,,,"-69,1126485401013"
MENDOZA,,,26,--,,,--,--,,--,SI,SI,,"-33,6005741925646","-69,3350878551815"
MENDOZA,Tunuyán,,661,--,SI,,SI,--,--,SI,SI,,50119050,"-33,5952101670008","-69,1840214848841"
MENDOZA,,,28859,SI,,,SI,--,,SI,,,50119060,"-33,5775549686559",
MENDOZA,Tunuyán,Vista Flores,,--,--,--,,--,SI,SI,SI,SI,,"-33,651355463945","-69,1646922660824"
,Tupungato,Barrio Belgrano Norte,1392,,--,--,--,,--,,--,--,,,"-69,1359513617454"
MENDOZA,,,1713,--,,,--,--,,SI,,SI,50126020,"-33,4689491349532",
MENDOZA,Tupungato,,541,--,--,,--,--,--,--,,,50126030,"-33,3706550679362",
CORDOBA,,Las Varillas,16238,SI,,,SI,SI,,SI,SI,SI,,"-31,8731135581313","-62,7187948274612"
CORDOBA,San Justo,,1791,--,--,,SI,SI,SI,,SI,SI,,,"-62,8258401081139"
,San Justo,Miramar,2023,,SI,--,--,,SI,SI,SI,,14140290,"-30,9145163516027","-62,6749183796469"
CORDOBA,San Justo,Morteros,,SI,--,--,,--,--,SI,,,14140300,"-30,7107058083835",
,San Justo,Plaza Luxardo,,,--,--,,,SI,,--,--,14140310,,"-62,2291672872465"
,San Justo,Plaza San Francisco,284,,--,--,--,,SI,--,--,SI,,"-31,3698057980989","-62,0980386090508"
CORDOBA,,,5337,SI,,,SI,--,,SI,,,14140330,"-31,0139211475279",
CORDOBA,,Quebracho Herrado,364,--,,--,--,--,,SI,--,,14140340,"-31,5496022220548","-62,2257312576183"
,San Justo,Sacanta,3117,,SI,--,SI,,SI,SI,SI,SI,,"-31,6633035739729","-63,0453212093259"
CORDOBA,San Justo,San Francisco,,SI,SI,--,,--,SI,,SI,SI,14140360,,"-62,0866336146078"
JUJUY,Valle Grande,,146,--,--,,--,--,--,--,--,,38105050,"-23,4570103207588","-64,9437440496263"
JUJUY,,Valle Grande,538,--,,--,--,--,,--,,--,38105060,"-23,4755402454172",
CORDOBA,San Justo,Saturnino María Laspiur,,--,SI,--,,SI,--,,SI,SI,,,"-62,4840180855351"
,San Justo,Seeber,582,,--,--,,,--,,--,SI,14140380,,"-61,9737374276269"
,San Justo,Toro Pujio,173,,--,--,--,,--,SI,,SI,14140390,"-31,1090401829574",
,San Justo,Tránsito,,,--,--,,,SI,SI,,,14140400,"-31,4251109532295",
CORDOBA,,Trinchera,0,--,,--,--,--,,,--,--,14140070,,"-62,8197328817386"
CORDOBA,,,1848,--,,,--,--,,,SI,SI,,"-31,3224689015774","-62,8144745758859"
,San Justo,Villa del Tránsito,,--,--,--,,--,SI,--,--,,14140430,"-31,4474037687006","-63,1940139744669"
,San Justo,Villa San Esteban,82,,--,--,--,,SI,--,,,14140440,"-31,6335474004986",
