,Partido,Localidad,ADSL,,DIALUP,FIBRAOPTICA,4G,,TELEFONIAFIJA,,SATELITAL
,Lavalle,Barrio Jocolí II,--,,--,--,--,,--,--,
MENDOZA,,,--,--,,,--,--,,,--
MENDOZA,,Barrio La Palmera,--,--,,--,--,--,,,--
,Lavalle,Barrio La Pega,--,,--,--,--,,SI,--,--
,Lavalle,Barrio Lagunas de Bartoluzzi,,,--,--,,--,--,--,
MENDOZA,Lavalle,,--,--,--,,--,--,--,--,--
MENDOZA,,Barrio Los Olivos,SI,--,,,--,--,,,--
MENDOZA,Lavalle,Barrio Virgen del Rosario,,--,--,--,,--,--,--,--
,Lavalle,Costa de Araujo,--,,--,SI,SI,,--,SI,
,Lavalle,El Paramillo,--,,--,--,--,,--,,--
,Lavalle,El Vergel,,,--,--,,,--,SI,--
MENDOZA,,Ingeniero Gustavo André,--,--,,--,--,--,,SI,
MENDOZA,,,--,--,,,--,--,,SI,--
MENDOZA,Lavalle,Jocolí Viejo,,--,--,--,,,--,,--
,Luján de Cuyo,Agrelo,SI,,--,SI,SI,,SI,,--
,Luján de Cuyo,Barrio Adina I Y Ii,,,--,--,,,--,--,--
MENDOZA,Luján de Cuyo,Barrio Perdriel IV,,--,--,SI,,--,--,SI,
MENDOZA,,,SI,--,,,SI,SI,,SI,--
MENDOZA,Luján de Cuyo,,--,--,--,,SI,SI,--,,--
MENDOZA,Luján de Cuyo,,--,--,,,SI,SI,--,SI,
MENDOZA,,Costa Flores,--,--,,SI,SI,SI,,SI,--
MENDOZA,Luján de Cuyo,El Carmelo,,--,--,--,,,--,,--
,Luján de Cuyo,El Carrizal,--,,--,--,SI,,--,SI,--
MENDOZA,,El Salto,--,--,,--,--,--,,SI,
MENDOZA,,,--,--,,,--,--,,SI,
MENDOZA,Luján de Cuyo,Las Carditas,,--,--,--,,--,--,,--
,Luján de Cuyo,Las Compuertas,,,SI,--,,,SI,,--
MENDOZA,Luján de Cuyo,,--,--,--,,--,--,SI,SI,
MENDOZA,,,--,--,,,SI,SI,,--,
MENDOZA,,PEDRO MOLINA,--,--,,SI,SI,SI,,,--
MENDOZA,Guaymallén,,SI,--,SI,,SI,SI,,SI,--
,Guaymallén,RODEO DE LA CRUZ,--,,--,SI,SI,,--,--,
MENDOZA,Guaymallén,SAN FRANCISCO DEL MONTE,,,--,SI,,SI,--,--,
MENDOZA,,,--,--,,,SI,SI,,--,--
MENDOZA,,VILLA NUEVA,--,--,,--,SI,SI,,,--
MENDOZA,Junín,,--,--,--,,--,--,,--,
MENDOZA,,Ingeniero Giagnoni,SI,--,,SI,SI,SI,,SI,--
,Junín,Junín,,--,SI,SI,,SI,SI,,--
,Junín,La Colonia,--,,--,SI,SI,,--,,SI
,Junín,Los Barriales,,,SI,--,,,SI,SI,
MENDOZA,Junín,Medrano,,--,--,--,,--,--,SI,
MENDOZA,,,--,--,,,--,--,,SI,--
MENDOZA,Junín,,--,--,--,,SI,--,SI,,--
MENDOZA,La Paz,Desaguadero,,--,--,--,,SI,SI,--,
,La Paz,La Paz,SI,,--,SI,,,SI,--,--
MENDOZA,,Villa Antigua,--,--,,--,--,--,,,--
MENDOZA,,,--,--,,,--,--,SI,--,--
,Las Heras,Capdeville,--,,--,--,SI,,--,--,
MENDOZA,Las Heras,El Algarrobal,,--,--,SI,,SI,--,--,--
MENDOZA,Las Heras,El Borbollon,,--,--,--,,SI,--,--,--
,Las Heras,EL CHALLAO,,,--,SI,,,--,,--
MENDOZA,Las Heras,,--,--,--,,SI,SI,--,--,--
MENDOZA,,,--,--,,,--,SI,,--,
,Las Heras,EL ZAPALLAR,--,,--,SI,SI,,--,,--
MENDOZA,Las Heras,Jocolí,,--,--,--,,SI,SI,--,--
MENDOZA,Las Heras,La Cieneguita,,--,--,--,,SI,--,--,--
,Las Heras,Las Cuevas,,,--,--,,,--,--,
MENDOZA,Las Heras,,SI,SI,SI,,SI,SI,SI,SI,SI
MENDOZA,,,--,--,,,--,--,,,--
NEUQUEN,,Caviahué,--,--,,--,SI,--,,SI,
NEUQUEN,Ñorquín,,--,--,--,,--,--,,SI,--
,Ñorquín,El Cholar,--,,--,--,--,,SI,,SI
NEUQUEN,Ñorquín,El Huecú,,,--,--,,--,SI,SI,SI
NEUQUEN,,,--,--,,,--,--,,SI,--
NEUQUEN,,Barrancas,--,--,,--,--,--,,SI,
,Pehuenches,Buta Ranquil,,,--,--,,,SI,--,SI
NEUQUEN,Pehuenches,Octavio Pico,,--,--,--,,--,--,,--
NEUQUEN,,,SI,SI,,,SI,SI,,SI,
NEUQUEN,Picún Leufú,,--,--,--,,--,--,--,--,
NEUQUEN,Picún Leufú,,--,--,,,--,--,SI,,--
NEUQUEN,,Picún Leufú,--,--,,--,SI,--,,,SI
NEUQUEN,Picunches,Bajada del Agrio,,--,--,--,,,SI,--,
,Picunches,La Buitrera,--,,--,--,--,,--,--,SI
NEUQUEN,,Las Lajas,--,--,,--,SI,--,,--,SI
NEUQUEN,,,--,--,,,--,--,,,--
NEUQUEN,Zapala,,--,--,--,,SI,--,--,--,--
MENDOZA,,Fray Luis Beltrán,SI,SI,,,SI,SI,,SI,
MENDOZA,Maipú,GENERAL GUTIERREZ,,--,--,SI,,SI,--,,--
,Maipú,LUZURIAGA,--,,--,SI,SI,,--,,--
,Maipú,Maipú,SI,,SI,SI,SI,,SI,SI,
,Maipú,Rodeo del Medio,,,SI,SI,,,SI,SI,
MENDOZA,,Russell,SI,--,,SI,SI,SI,,,--
MENDOZA,,,SI,--,,,SI,SI,,SI,--
MENDOZA,Maipú,Villa Teresa,,--,--,--,,,--,SI,--
,Malargüe,Agua Escondida,--,,--,--,SI,,--,--,
MENDOZA,,Bardas Blancas,--,--,,--,SI,--,,--,--
MENDOZA,Malargüe,,--,--,--,,SI,SI,SI,,--
,Coronel Felipe Varela,Pagancillo,,,--,SI,,,--,SI,--
LA RIOJA,Coronel Felipe Varela,Santa Clara,,--,--,--,,--,--,--,
,Coronel Felipe Varela,Villa Unión,,,--,SI,,,SI,,SI
,Famatina,Alto Carrizal,--,,--,--,--,,--,--,--
LA RIOJA,,,--,--,,,--,--,,SI,
LA RIOJA,,Antinaco,--,--,,--,--,--,,--,--
,Famatina,Bajo Carrizal,--,,--,--,--,,--,--,--
,Famatina,Campanas,,,--,SI,,--,SI,,--
,Famatina,Chañarmuyo,,,--,--,,,--,SI,
LA RIOJA,Famatina,Famatina,,SI,--,SI,,SI,SI,SI,--
LA RIOJA,,La Cuadra,--,--,,--,--,--,,,--
LA RIOJA,Famatina,,--,--,--,,SI,--,SI,SI,--
LA RIOJA,,,--,--,,,--,--,,--,--
LA RIOJA,,Santa Cruz,--,--,,--,--,--,,SI,
,Famatina,Santo Domingo,,,--,--,,,--,--,--
,General Angel V. Peñaloza,Punta de los Llanos,--,,--,SI,SI,,SI,,--
LA RIOJA,,Tama,SI,--,,SI,SI,--,,SI,
LA RIOJA,General Belgrano,,--,--,--,,--,--,,SI,--
LA RIOJA,General Belgrano,Chañar,,--,--,SI,,SI,SI,,--
,Matacos,Ingeniero Guillermo N. Juárez,SI,,--,--,SI,,SI,SI,SI
FORMOSA,Patiño,,--,--,--,,--,--,--,SI,
FORMOSA,,,--,--,,,--,--,,--,
FORMOSA,,Comandante Fontana,--,--,,--,SI,SI,,,--
FORMOSA,,,--,--,,,--,--,,,--
,Patiño,Estanislao del Campo,SI,,--,--,SI,,SI,SI,--
,Patiño,Fortín Cabo 1º Lugones,,,--,--,,,--,SI,
FORMOSA,,,--,--,,,--,--,--,,SI
FORMOSA,,Ibarreta,SI,--,,--,SI,SI,,SI,SI
FORMOSA,,,--,--,,,SI,--,,SI,
FORMOSA,Patiño,,SI,--,--,,SI,SI,SI,SI,SI
,Patiño,Posta Cambio Zalazar,,,--,--,,,--,,--
FORMOSA,Patiño,Pozo del Tigre,,--,--,SI,,SI,SI,,--
FORMOSA,Patiño,San Martín I,,--,--,--,,--,--,SI,
,Patiño,San Martín II,--,,--,SI,SI,,SI,SI,
JUJUY,,,--,--,--,,--,--,--,SI,--
FORMOSA,,Laguna Naick-Neck,SI,--,,--,SI,--,,,SI
,Pilcomayo,Palma Sola,--,,--,--,SI,,--,SI,
,Pilcomayo,Puerto Pilcomayo,,,--,--,,,--,SI,--
FORMOSA,Pilcomayo,,--,--,--,,SI,SI,SI,,--
FORMOSA,,,--,--,,,SI,--,,SI,--
FORMOSA,Pilcomayo,Siete Palmas,,--,--,SI,,--,SI,SI,
,Pirané,Colonia Campo Villafañe,,,--,SI,,,SI,SI,--
,Pirané,El Colorado,SI,,--,SI,SI,,SI,SI,SI
,Pirané,Palo Santo,,SI,--,--,,SI,SI,,SI
FORMOSA,,Pirané,--,--,,SI,SI,SI,,SI,SI
FORMOSA,Pirané,,--,--,--,,SI,--,SI,SI,
,Ramón Lista,El Potrillo,,,--,--,,,--,,--
,Ramón Lista,El Quebracho,--,,--,--,--,,--,SI,--
,Nogoyá,Hernández,,,--,--,,SI,SI,SI,SI
,Nogoyá,Lucas González,SI,,--,--,SI,,SI,SI,
ENTRE RIOS,Nogoyá,,SI,--,--,,SI,SI,,SI,--
ENTRE RIOS,,XX de Setiembre,--,--,,--,--,--,,,--
ENTRE RIOS,,,--,--,,,SI,--,,SI,
ENTRE RIOS,Paraná,,--,--,--,,--,--,--,--,--
,Paraná,Aldea San Rafael,,,--,--,,,SI,,--
ENTRE RIOS,Paraná,Aldea Santa María,,--,--,--,,--,SI,--,--
ENTRE RIOS,Paraná,,--,--,--,,--,--,--,--,
ENTRE RIOS,,Cerrito,SI,SI,,--,SI,SI,,SI,
,Paraná,Colonia Avellaneda,SI,,--,--,SI,,SI,,--
ENTRE RIOS,Paraná,Colonia Crespo,,--,--,--,,,--,,--
ENTRE RIOS,,Colonia Merou,--,--,,--,--,--,,--,--
ENTRE RIOS,Paraná,,SI,SI,,,SI,SI,SI,SI,
ENTRE RIOS,Paraná,,--,--,--,,--,--,--,,--
ENTRE RIOS,,,--,--,,,SI,--,,,--
ENTRE RIOS,Diamante,General Ramírez,,SI,--,--,,SI,SI,SI,
,Diamante,La Juanita,,,--,--,,,--,--,
ENTRE RIOS,,,--,--,,,--,--,,--,--
ENTRE RIOS,Diamante,,--,--,--,,--,--,--,,--
ENTRE RIOS,Diamante,,--,--,,,--,--,--,--,--
ENTRE RIOS,,Strobel,--,SI,,--,SI,SI,,--,
ENTRE RIOS,Diamante,Villa Libertador San Martín,,--,--,--,,,SI,,--
,Federación,Chajarí,SI,,--,SI,SI,,SI,,--
,Federación,Colonia Alemana,,,--,--,,,--,SI,
ENTRE RIOS,Federación,Colonia Ensanche Sauce,,--,--,--,,--,--,SI,
ENTRE RIOS,,,--,--,,,SI,SI,,,--
ENTRE RIOS,Federación,,--,--,--,,--,--,--,SI,--
ENTRE RIOS,Federación,Colonia Santa María,,--,--,--,,--,--,SI,--
,Federación,Federación,SI,,--,SI,SI,,SI,SI,
ENTRE RIOS,,Los Conquistadores,--,SI,,--,SI,SI,,SI,--
ENTRE RIOS,Federación,,--,SI,--,,SI,SI,,,--
,Ramón Lista,General Mosconi,--,,--,SI,--,,SI,SI,SI
JUJUY,Cochinoca,Abdón Castro Tolay,,,--,--,,--,--,--,
JUJUY,Cochinoca,Abra Pampa,,--,--,--,,--,SI,,SI
,Cochinoca,Abralaite,,,--,--,,,--,--,--
JUJUY,Cochinoca,,--,--,--,,--,--,--,--,
JUJUY,,,--,--,,,--,--,,--,--
,Cochinoca,Cochinoca,,,--,--,--,,--,--,--
JUJUY,Cochinoca,La Redonda,,--,--,--,,--,--,,SI
,Cochinoca,Puesto del Marquéz,,,--,SI,,,--,--,--
,Cochinoca,Quebraleña,--,,--,--,--,,--,--,
JUJUY,,,--,--,,,--,--,,--,--
JUJUY,,Rinconadillas,--,--,,--,--,--,,,--
JUJUY,,San Francisco de Alfarcito,--,--,,--,--,--,,--,
JUJUY,Cochinoca,,--,--,--,,--,--,--,--,--
,Cochinoca,Santuario de Tres Pozos,--,,--,--,,,--,,--
JUJUY,Cochinoca,Tambillos,,--,--,--,,--,--,--,--
JUJUY,Cochinoca,,--,--,--,,--,--,--,--,
JUJUY,,,--,--,,,--,--,,SI,
,Doctor Manuel Belgrano,Guerrero,SI,,--,--,SI,,SI,--,--
,Doctor Manuel Belgrano,La Almona,,,--,SI,,,--,,--
JUJUY,,León,--,SI,,--,--,--,,--,
JUJUY,,,--,--,,,SI,SI,,SI,
JUJUY,Doctor Manuel Belgrano,,--,--,--,,--,--,--,,--
JUJUY,,,--,--,,,--,--,,,--
JUJUY,Doctor Manuel Belgrano,San Salvador de Jujuy (Est. Jujuy),,SI,--,SI,,SI,SI,SI,
,Doctor Manuel Belgrano,Yala,--,,--,--,SI,,SI,SI,SI
JUJUY,,,--,--,,,--,--,,SI,--
JUJUY,El Carmen,,--,--,--,,--,--,--,,--
JUJUY,,Barrio La Unión,--,--,,--,--,--,,--,
JUJUY,,,SI,SI,,,SI,SI,,SI,SI
,El Carmen,Fleming,--,,--,--,SI,,--,,--
,El Carmen,Los Lapachos (Est. Maquinista Verón),,,--,--,,,--,,--
JUJUY,El Carmen,Loteo San Vicente,,--,--,--,,--,--,--,
,El Carmen,Manantiales,--,,--,--,SI,,--,--,
JUJUY,El Carmen,,--,SI,--,,SI,SI,SI,,SI
JUJUY,,,SI,SI,,--,SI,SI,,,SI
,El Carmen,Perico,,,--,--,,,SI,SI,
JUJUY,El Carmen,Pila Pardo,,--,--,--,,--,--,--,--
JUJUY,,,SI,--,,,SI,--,,,SI
JUJUY,,Llulluchayoc,--,--,,--,--,--,,--,--
,Yavi,Pumahuasi,,,--,SI,,,--,--,
,Yavi,San Jose,--,,--,--,--,,--,--,--
,Yavi,Yavi,,,--,--,,,--,--,SI
JUJUY,Yavi,Yavi Chico,,--,--,SI,,--,--,,--
LA PAMPA,,Doblas,--,SI,,SI,--,--,,SI,SI
LA PAMPA,Atreucó,,--,--,--,,SI,--,SI,SI,
LA PAMPA,Atreucó,Miguel Riglos,,--,--,SI,,--,SI,,SI
,Atreucó,Rolón,,,--,--,,,SI,SI,SI
,Atreucó,Tomas M. Anchorena,--,,SI,--,--,,SI,SI,
,Caleu Caleu,Anzoategui,,--,--,--,,--,--,--,--
LA PAMPA,,La Adela,--,SI,,--,SI,SI,,,SI
LA PAMPA,Capital,,--,SI,--,,SI,SI,SI,SI,SI
JUJUY,Susques,,--,--,--,,--,--,SI,SI,SI
JUJUY,,,--,--,,,--,--,,--,
JUJUY,Susques,Puesto Sey,,--,--,SI,,--,--,--,--
,Susques,San Juan de Quillaqués,,,--,SI,,,--,,SI
JUJUY,,Susques,--,--,,SI,SI,--,,SI,
JUJUY,Tilcara,,--,--,--,,--,--,--,--,--
JUJUY,Tilcara,Huacalera,,--,--,SI,,--,--,,--
,Tilcara,Juella,--,,--,--,--,,SI,,--
JUJUY,,,--,--,--,,SI,--,SI,SI,
JUJUY,,Tilcara,--,--,,SI,SI,SI,,SI,
JUJUY,,,--,--,,,--,--,,,--
JUJUY,Tumbaya,,--,--,--,,--,--,--,,--
,Tumbaya,El Moreno,,,--,--,,,--,--,--
JUJUY,Tumbaya,Puerta de Colorados,,--,--,--,,--,--,--,
JUJUY,Tumbaya,,SI,--,--,,SI,--,SI,,--
JUJUY,,Tumbaya,--,--,,,SI,--,,SI,--
JUJUY,Tumbaya,,SI,--,--,,SI,--,SI,SI,
JUJUY,,,--,--,,,--,--,,--,
JUJUY,Valle Grande,Pampichuela,,--,--,--,,--,--,--,--
,Valle Grande,San Francisco,,,--,--,,,--,,--
,Valle Grande,Santa Ana,--,,--,--,--,,--,--,
ENTRE RIOS,Paraná,El Pingo,,--,--,--,,,SI,SI,
ENTRE RIOS,,El Ramblón,--,--,,--,SI,--,,,--
ENTRE RIOS,,,--,--,,,SI,--,--,,--
,Paraná,Hasenkamp,,,--,SI,,,SI,SI,SI
,Paraná,Hernandarias,--,,--,--,SI,,SI,SI,
ENTRE RIOS,,,SI,--,,,SI,SI,,--,--
ENTRE RIOS,Paraná,,--,--,--,,--,--,--,,SI
,Paraná,María Grande,,,SI,SI,,,SI,SI,--
ENTRE RIOS,Paraná,Oro Verde,,SI,--,--,,SI,SI,SI,
ENTRE RIOS,Paraná,Paraná,,,SI,SI,,SI,SI,,SI
,Paraná,Pueblo Bellocq (Est. Las Garzas),--,,--,--,--,,SI,--,--
ENTRE RIOS,Paraná,,--,--,--,,SI,SI,,SI,
ENTRE RIOS,,Pueblo General San Martín,--,--,,--,SI,--,,--,--
,Zapala,Los Catutos,--,,--,--,--,,--,,--
,Zapala,Mariano Moreno,,,SI,--,,,SI,,SI
,Zapala,Ramon M. Castro,--,,--,--,SI,,--,--,
,Zapala,Zapala,,,SI,SI,,SI,SI,SI,SI
RIO NEGRO,,Aguada de Guerra,--,--,,--,--,--,,,--
RIO NEGRO,25 de Mayo,,--,--,--,,--,--,--,,--
RIO NEGRO,25 de Mayo,,--,--,--,,--,--,SI,--,
RIO NEGRO,,,--,--,,,--,--,,--,
RIO NEGRO,25 de Mayo,Ingeniero Jacobacci,,--,SI,SI,,SI,SI,SI,SI
,25 de Mayo,Los Menucos,,,--,--,,,--,,SI
RIO NEGRO,,Maquinchao,--,--,,--,SI,--,,SI,
RIO NEGRO,25 de Mayo,,--,--,--,,--,--,--,--,--
RIO NEGRO,25 de Mayo,Pilquiniyeu,,--,--,--,,,--,,SI
,9 de Julio,Comicó,--,,--,--,--,,--,--,SI
RIO NEGRO,,,--,--,--,,--,--,SI,--,
RIO NEGRO,,Ministro Ramos Mexía,--,--,,SI,--,--,,SI,SI
LA PAMPA,,,--,--,,,SI,--,,--,SI
LA PAMPA,Guatraché,,--,SI,--,,SI,SI,SI,,SI
,Guatraché,Perú,,,--,--,,,--,SI,--
LA PAMPA,Guatraché,Santa Teresa,,--,--,SI,,--,SI,--,
LA PAMPA,Hucal,,--,--,--,,--,--,--,,SI
LA PAMPA,,,SI,--,,,SI,SI,,,SI
LA PAMPA,,General San Martín (Est. Villa Alba),--,--,,SI,SI,SI,,SI,
LA PAMPA,,,--,--,,,--,--,,--,--
,Hucal,Jacinto Arauz,--,,--,SI,SI,,SI,,SI
,Lihuel Calel,Cuchillo Co,,,--,SI,,,--,--,SI
LA PAMPA,Limay Mahuida,La Reforma,,--,--,--,,--,SI,SI,SI
,Limay Mahuida,Limay Mahuida,--,,--,--,--,,--,SI,
LA PAMPA,Loventué,,--,--,--,,--,--,SI,SI,SI
LA PAMPA,,,--,--,,SI,--,--,,,--
,Loventué,Luan Toro,,,--,--,,,SI,SI,
LA PAMPA,Loventué,Telén,,--,--,SI,,--,SI,SI,SI
LA PAMPA,,,--,--,,,SI,SI,,,SI
LA PAMPA,,Agustoni,--,--,,--,--,--,,SI,--
,Maracó,Dorila,,,--,SI,,,SI,SI,
,Maracó,General Pico,SI,,SI,SI,SI,,SI,SI,
,Maracó,Speluzzi,,,--,SI,SI,,SI,,--
LA PAMPA,Maracó,Trebolares,,--,--,--,,--,--,,--
LA PAMPA,,25 de Mayo,--,--,,SI,SI,SI,,SI,--
LA PAMPA,Puelén,,--,--,--,,--,--,--,SI,
LA PAMPA,Puelén,Puelén,,--,SI,--,,--,SI,,SI
,Quemú Quemú,Colonia Barón,,,SI,SI,,,SI,SI,SI
,Quemú Quemú,Colonia San José,,,--,--,,,--,--,
,Quemú Quemú,Miguel Cané,--,,--,SI,SI,,SI,--,
MENDOZA,,,--,--,,,--,--,,,--
MENDOZA,,Barrio El Cepillo,--,--,,--,--,--,,,--
MENDOZA,,Chilecito,--,--,,--,SI,SI,,SI,
MENDOZA,San Carlos,,SI,--,--,,SI,SI,SI,SI,
,San Carlos,La Consulta,SI,,--,--,,,SI,,SI
MENDOZA,San Carlos,Pareditas,,--,--,SI,,SI,SI,SI,--
MENDOZA,San Carlos,,--,SI,--,,SI,SI,--,SI,--
MENDOZA,,,--,--,,,--,--,,SI,
,San Martín,Alto Verde,--,,--,SI,--,,--,SI,--
,San Martín,Barrio Chivilcoy,,,--,--,,,--,,--
MENDOZA,,Barrio Emanuel,--,--,,--,--,--,,--,--
MENDOZA,,,--,--,,,--,--,,--,
MENDOZA,San Martín,,--,--,--,,--,--,--,,--
MENDOZA,,Barrio Ntra. Sra. De Fátima,--,--,,,--,SI,,--,--
MENDOZA,San Martín,Chapanay,,--,SI,SI,,SI,SI,SI,
,San Martín,Chivilcoy,--,,--,--,--,,--,--,--
MENDOZA,,,--,--,,,--,--,,SI,--
MENDOZA,San Martín,,--,--,--,,--,--,--,,--
MENDOZA,,,--,--,,,SI,SI,SI,SI,--
MENDOZA,,Nueva California,--,--,,--,--,--,,SI,
MENDOZA,Tupungato,El Zampal,,--,--,--,,,--,--,--
,San Rafael,Villa Atuel Norte,--,,--,--,SI,,SI,,--
,Santa Rosa,Barrio 12 de Octubre,,,--,SI,,,--,--,
MENDOZA,Santa Rosa,Barrio María Auxiliadora,,--,--,--,,SI,--,--,--
MENDOZA,,,--,--,,,--,--,,,--
MENDOZA,Santa Rosa,,--,--,--,,SI,SI,SI,SI,--
MENDOZA,Santa Rosa,Las Catitas,,--,--,--,,SI,SI,SI,--
,Santa Rosa,Santa Rosa,--,,--,SI,--,,SI,SI,
MENDOZA,,Barrio San Cayetano,--,--,,--,--,--,,--,--
MENDOZA,Tunuyán,,--,SI,--,,--,--,,,--
,Tunuyán,Colonia Las Rosas,--,,--,--,SI,,SI,SI,
MENDOZA,Tunuyán,El Manzano,,,--,--,,SI,--,--,
MENDOZA,Tunuyán,Los Sauces,,SI,--,SI,,SI,SI,,--
,Tunuyán,Tunuyán,,,SI,SI,,,SI,,--
MENDOZA,Tunuyán,,--,--,--,,SI,SI,SI,SI,
MENDOZA,,,--,--,,,--,--,,--,
,Tupungato,Cordón del Plata,,,--,--,,,SI,SI,--
MENDOZA,Tupungato,El Peral,,--,--,--,,--,--,,--
,San Justo,Las Varillas,,,--,SI,,,SI,--,
CORDOBA,San Justo,Marull,,--,--,SI,,SI,SI,SI,
CORDOBA,,,--,SI,,,SI,SI,,,--
CORDOBA,San Justo,,SI,--,--,,SI,SI,SI,,--
CORDOBA,San Justo,,--,--,--,,--,--,--,SI,--
CORDOBA,,Plaza San Francisco,--,--,,--,SI,--,,SI,
,San Justo,Porteña,,--,--,SI,,SI,SI,,--
,San Justo,Quebracho Herrado,--,,--,--,--,,SI,,--
CORDOBA,,Sacanta,--,SI,,SI,SI,SI,,SI,
CORDOBA,,,SI,SI,,,SI,SI,,SI,--
JUJUY,Valle Grande,Valle Colorado,,--,--,--,,--,--,,--
,Valle Grande,Valle Grande,,,--,--,,,--,--,--
CORDOBA,San Justo,,--,SI,--,,SI,SI,SI,--,
CORDOBA,,,SI,--,,,SI,--,,--,--
CORDOBA,,Toro Pujio,SI,--,,--,SI,--,,--,--
CORDOBA,,,SI,--,--,,SI,SI,SI,,--
,San Justo,Trinchera,--,,--,--,--,,--,--,--
CORDOBA,San Justo,Villa Concepción del Tío,,SI,--,--,,SI,SI,SI,
CORDOBA,,,--,--,,,--,--,,,--
CORDOBA,,Villa San Esteban,--,--,,--,--,--,,,--
CORDOBA,,,SI,SI,,,SI,SI,,SI,
CORDOBA,Santa María,,SI,--,--,,--,--,SI,SI,--
,Santa María,Barrio Gilbert,,,--,--,,,--,,--
CORDOBA,Santa María,Barrio Las Quintas,,--,--,--,,SI,--,--,--
CORDOBA,Santa María,Barrio Villa del Parque,,--,--,--,,--,--,--,--
,Santa María,Bouwer,--,,--,--,SI,,SI,--,
CORDOBA,,,--,--,,,--,--,--,--,--
CORDOBA,,Caseros Centro,--,--,,--,SI,--,,,--
,Santa María,Causana,--,,--,--,--,,--,--,
,Santa María,Costa Azul,,,--,--,,,--,--,--
CORDOBA,Río Primero,,SI,--,--,,SI,SI,SI,,--
CORDOBA,,,--,--,,,--,--,,--,--
CORDOBA,Río Primero,Pueblo Comechingones,,--,--,--,,--,SI,--,
,Río Primero,Río Primero,,,--,SI,,,SI,SI,
,Río Primero,Sagrada Familia,--,,--,--,--,,--,,--
,Río Primero,Santa Rosa de Río Primero,,,--,SI,,SI,SI,,--
CORDOBA,,Villa Fontana,--,--,,SI,SI,--,,SI,--
CORDOBA,Río Seco,,--,--,--,,SI,SI,,SI,
,Río Seco,Chañar Viejo,,,--,--,,,--,,--
,Río Seco,Eufrasio Loza,--,,--,--,--,,--,--,--
,Río Seco,Gütemberg,,,--,--,--,,--,--,
CORDOBA,Río Seco,La Rinconada,,--,--,--,,--,--,--,--
CORDOBA,,Los Hoyos,--,--,,--,SI,--,,,--
CORDOBA,Río Seco,,--,--,--,,--,--,--,,--
CORDOBA,,,--,--,,,--,--,,SI,
CORDOBA,,San Pedro de Gütemberg,--,--,,--,--,--,,--,
,Río Seco,Santa Elena,,,--,--,,,--,--,--
,Río Seco,Sebastián Elcano,--,,--,SI,SI,,SI,,--
CORDOBA,,Villa Candelaria,--,--,,--,--,--,,--,
CORDOBA,San Justo,,SI,SI,--,,SI,SI,,SI,SI
CORDOBA,San Justo,Balnearia,,--,--,--,,SI,SI,,--
,San Justo,Brinkmann,SI,,--,SI,SI,,SI,--,--
CORDOBA,San Justo,,--,--,--,,--,--,--,--,
CORDOBA,,,--,--,,--,--,--,,SI,--
CORDOBA,,Colonia Iturraspe,--,--,,--,--,--,,--,--
CORDOBA,,,--,--,,,--,--,,,--
,San Justo,Colonia Marina,--,,--,SI,SI,,SI,SI,SI
,San Justo,Colonia Prosperidad,,,--,--,,,SI,--,
CORDOBA,San Justo,,--,--,,,SI,--,SI,,--
CORDOBA,,Colonia San Pedro,--,--,,--,--,--,,--,--
CORDOBA,San Justo,,--,--,--,,--,--,--,--,--
CORDOBA,,Colonia Valtelina,--,--,,,--,--,,--,
CORDOBA,San Justo,Colonia Vignaud,,--,--,SI,,SI,SI,--,--
,Calamuchita,Lutti,--,,--,--,--,,--,,--
,Calamuchita,Monte Ralo,--,,--,--,--,,--,--,
,Calamuchita,Parque Calmayo,,,--,--,,,--,SI,--
CORDOBA,,Río de los Sauces,--,--,,--,SI,SI,,,--
CORDOBA,,,SI,--,,,SI,SI,,SI,--
CORDOBA,Calamuchita,San Ignacio (Loteo San Javier),,--,--,--,,--,SI,SI,--
,Calamuchita,San Ignacio (Loteo Vélez Crespo),--,,--,--,SI,,--,SI,
CORDOBA,,Santa Monica,--,--,,--,--,--,,--,--
CORDOBA,Calamuchita,,SI,SI,--,,SI,SI,SI,,--
,Calamuchita,Segunda Usina,--,,--,--,,,--,SI,
CORDOBA,Calamuchita,Solar de los Molinos,,--,--,--,,--,SI,--,
,Calamuchita,Villa Alpina,,,--,--,,,--,,--
,Calamuchita,Villa Amancay,--,,--,--,SI,,SI,,--
CORDOBA,,,SI,--,,,SI,--,,SI,
CORDOBA,,Villa Ciudad Parque Los Reartes,--,SI,,--,SI,--,,--,--
,Calamuchita,Villa Ciudad Parque Los Reartes (1a. Sección),--,,--,--,--,,SI,SI,--
,Calamuchita,Villa Ciudad Parque Los Reartes (3a. Sección),,--,--,--,,--,--,,--
CORDOBA,San Justo,Devoto,,--,--,SI,,SI,SI,--,--
,San Justo,El Arañado,,,--,--,,,SI,SI,
CORDOBA,San Justo,,--,SI,--,,SI,SI,SI,,--
CORDOBA,,,--,--,,,SI,--,,,--
CORDOBA,,El Tío,SI,SI,,SI,SI,SI,,--,
CORDOBA,San Justo,,--,--,--,,SI,SI,,SI,
,San Justo,Freyre,SI,,--,SI,SI,,SI,,--
,San Justo,La Francia,,,--,SI,,SI,SI,SI,--
CORDOBA,,,SI,--,,,SI,--,,SI,--
CORDOBA,,La Tordilla,SI,--,,--,SI,SI,,SI,
,San Justo,Las Varas,,,--,SI,,,SI,--,--
